str_no_string|,
str_center_distant_from_concentration|...բանակն զոր նշմարեցաք, է մեզ մօտագոյն քան զգլխաւոր բանակ թշնամւոյն. կարեմք յարձակիլ եւ կործանել զնոսա յառաջ քան զհասանել սատարութեան:
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|Ո՛հ, պէտք են քեզ զէնք յառաջ քան զփորձելն զայս. անդ պարտի լինել սակաւ մի պահեստի զէնուց. երթ եւ ա՛ռ մի ի նոցանէ:
str_tutorial_training_ground_warning_shield|Նախ պարտիս իջուցանել զվահան քո. շարժեա՛ զանաւակ մկանն ի վայր՝ դնել զվահանն ի թիկունս:
str_tutorial_training_ground_warning_melee_with_parry|Վասն կրթութեանս այսորիկ պարտիս զինիլ մերձամարտիկ զինու:
str_tutorial_training_ground_warning_melee|Շարժեա՛ զանաւակ մկանն ի վեր՝ զինիլ զինու. ի շարժելն ի վեր զինիս յաջորդ զինու, իսկ ի շարժելն ի վայր՝ յաջորդ վահանաւ:
str_tutorial_training_ground_attack_training|Թիւ յաջողեալ յարձակմանց: {reg0} / 5^Թիւ անյաջող յարձակմանց: {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|Հա՛ր զխոցումն: (Ձգեա՛ զմուկն ի վայր՝ մինչ կալեալ ունիս զձախ ստեղնն)
str_tutorial_training_ground_attack_training_up|Յարձակեա՛ ի վերուստ: (Մղեա՛ զմուկն ի վեր՝ մինչ կալեալ ունիս զձախ ստեղնն)
str_tutorial_training_ground_attack_training_left|Յարձակեա՛ ի ձախմէ: (Մղեա՛ զմուկն ի ձախ՝ մինչ կալեալ ունիս զձախ ստեղնն)
str_tutorial_training_ground_attack_training_right|Յարձակեա՛ ի աջմէ: (Մղեա՛ զմուկն ի աջ՝ մինչ կալեալ ունիս զձախ ստեղնն)
str_tutorial_training_ground_parry_training|Թիւ յաջողեալ վանմանց: {reg0} / 5
str_tutorial_training_ground_chamber_training|Թիւ յաջողեալ բոլորակ պաշտպանութեանց: {reg0} / 5
str_tutorial_training_ground_archer_training|Թիւ բարւոք հարուածոց: {reg0} / 3^{s0}
str_tutorial_training_ground_ammo_refill|Նետք քո վերստին լցցին վասն կրթութեան:
str_tutorial_training_ground_archer_text_1|Մատի՛ր առ տեղին {s0} եւ սեղմեա՛ զF ստեղնն՝ առնուլ զայն:
str_tutorial_training_ground_archer_text_2|Արդ հա՛ր զթիրախսն:
str_tutorial_training_ground_archer_text_3|Նշանն ցուցանէ զդիտողութիւն քո. կա՛լ զձախ ստեղն մկանն մինչեւ նշանն լիցի փոքրագոյն. յորժամ նշանն է ի փոքրագոյն չափի՝ արձակեա՛ զստեղնն. եթէ յամեսցես՝ նշանն դարձեալ ընդարձակեսցի:
str_tutorial_training_ground_archer_text_4|Սեղմեա՛ զR ստեղնն՝ անցանել յառաջին դէմս. յառաջին դիմի դիւրին է գործածել զհեռահար զէնս:
str_tutorial_training_ground_archer_text_5|Հարեր զամենայն թիրախս. արդ դարձեալ խօսեա՛ ընդ վարժապետին:
str_tutorial_training_ground_horseman_text_1|Ե՛րթ ի վայրն {s0} եւ սեղմեա՛ զF ստեղնն՝ առնուլ զայն:
str_tutorial_training_ground_horseman_text_2|Մատի՛ր առ երիվարն եւ սեղմեա՛ զF ստեղնն՝ հեծնուլ:
str_tutorial_training_ground_horseman_text_3|Ե՛րթ ի կողմն անցման:
str_tutorial_training_ground_horseman_text_4|Հա՛ր զխրտուիլակն՝ որոյ ի վերայ կայ նետ:
str_tutorial_training_ground_horseman_text_5|Հա՛ր զթիրախն նետահարութեան՝ որոյ ի վերայ կայ նետ:
str_tutorial_training_ground_horseman_text_6|Կատարեցի զկրթութիւնն յաջողութեամբ. արդ ե՛րթ եւ տե՛ս զվարժապետն:
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|Մեծամեծ տեարք թագաւորութեան քո խորհին գումարիլ յապարանս քո ի {s10} վասն խնճոյից:
str_your_previous_court_some_time_ago|Նախկին ատեանն:
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|...սպասէ առման բերդի միոջ՝ որ կարիցէ լինել ատեան քո:
str_but_if_this_goes_badly|Պատուեմ զխորհուրդ քո. բայց եթէ իրքն վատթարասցին՝ զքեզ համարեցայց պատասխանատու:
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm|Գիտեմ զի դու ի բարեկամութեան ես ընդ {s4}, բայց խնդրեմք ի քէն առնել զայս վասն օգտի աշխարհիս:
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more|Գիտեմ զի դու ի բարեկամութեան ես ընդ {s4} – վասն որոյ յաջորդ հարուածն առաւել եւս սասանեսցէ զնա!
str_killed_bandit_at_alley_fight|Ընդ վաճառականին չոքար ի տուն նորա որ մերձ էր: Յետ կալոյ սակաւ մի ի սեմս դրանն եւ դիտելոյ զփողոցն, եւ հաւաստելոյ թէ ոչ ոք զհետ ձեր գայր, փակեաց զդուռնն եւ եկն խօսել ընդ ձեզ...
str_wounded_by_bandit_at_alley_fight|Անկար: Բայց յառաջ քան զմթանալ զգայութեանց քոց, լուար աղաղակս եւ ձայն շտապեալ սլացիկ քայլից... Յորժամ սթափեցար, գտեր զքեզ ի սենեկի միում, տկար՝ բայց գոնէ կենդանի:
str_cannot_leave_now|Ոչ կարեմ մեկնիլ այժմ:
str_press_tab_to_exit_from_town|Հար զTab-ն առ ի մեկնիլ: Կարես հարուանել զTab-ն առ ի վաղվաղակի ելանել ի յորում եւ է վայրէ խաղիս:
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|Գտիր զորջս յափշտակողաց մերձ առ {s9} եւ ազատեա զեղբայր երեւելի վաճառականին {s10}:
str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|Եթէ ոչ կամիս ընդ վայր հարկանել զվստահութիւն իմ, փութա: Երթ եւ գտիր կամաւորս ինչ: Ոչ գիտեմ թէ որչափ ժամանակ մնայ մեզ:
str_you_need_more_men_sir_my_lady|Տես, բազում այրք պէտք են: Արդ ունիս միայն զ{reg0} այրս ի գնդի քում: Եթէ յարձակեսցիս սակաւ այրամբք, թերեւս ինքնին գերի անկցիս կամ մեռցիս ի ջանալն ազատել զեղբայր իմ: Զայդ ոչ կամիմք բնաւ: Երթ եւ գումարեա զկամաւորս ի գեւղօրէից, աճեցո զթիւ այրանց քոց: Ապա չուեսցես ի փրկել զեղբայր իմ:
str_good_you_have_enough_men|Բարի է, բարի: Բարւոք արարեր: Ունիս բաւական այրս: Արդ երթ եւ հար զաւազակսն զայնոսիկ, զի յայտնեսցեն քեզ զտեղի որջից իւրեանց:
str_do_not_waste_time_go_and_learn_where_my_brother_is|Խնդրեմ {տէր իմ/տիկին իմ}, մի վատներ զժամանակդ աստ մնալով: Երթ եւ գիտա թէ ո՞ւր պահեն զեղբայր իմ:
str_start_up_quest_message_1|{s9} կամի զի գումարեսցես գոնէ 5 այրս ի մերձակայ գեւղօրէից: Յետ գումարելոյ զայսոսիկ այրս՝ խօսեաց ընդ նմա: Կարես գտանել զնա ի պանդոկի {s1}-ի:
str_start_up_quest_message_2|Գտիր եւ կոտորեա զգունդ յափշտակողաց որ շրջին շուրջ զ{s9}-աւ, ապա գիտա թէ ո՞ւր տարան զեղբայր տեառն քո:
str_start_up_quest_message_3|Ազատեա զեղբայր վաճառականին յորջից յափշտակողաց որ մերձ է առ {s9}:
str_start_up_first_quest|Ընկալար զառաջին պատուէր քո: Կարես գիտել զիւրաքանչիւր պատուիրանաց քոց հարուանելով զ«Q» տառն:
str_reason_1|Արդի նպատակ մեր է կարեւորագոյն:
str_reason_2|Յարձակումն ի վերայ {s8}-ի լիցի առաւել վտանգաւոր վասն աշխարհի մերոյ:
str_reason_3|Համարիմք թէ {s8} կայ յառաջի առաւել մեծի վտանգի:
str_reason_4|Թերեւս լինիցի վասն թշնամեաց զօրաց որ են ի վայրս յայսոսիկ:
str_reason_5|Ոչ եմ հաստատուն:
str_reason_6|Ոչ գիտեմք թէ որչափ հզօր է պաշտպանութիւնն:
str_reason_7|Հաւատամք թէ է պաշտպանութիւն հզօր:
str_reason_8|Հաւատամք թէ է պաշտպանութիւն չափաւոր:
str_reason_9|Հաւատամք թէ է պաշտպանութիւն տկար:
str_has_decided_that_an_attack_on_|վայրն ընտրեալ վասն յարձակման
str_this_would_be_better_worth_the_effort|Հաշուեալ զթիւ պաշտպանաց, զհեռաւորութիւն եւ զարժէք, թուի թէ ջանքս այս լիցի առաւել արդիւնաւոր:
str_has_decided_to_defend_|վայրն ընտրեալ վասն պաշտպանութեան
str_before_going_offensive_we_should_protect_our_lands_if_there_is_any_threat_so_this_can_be_reason_marshall_choosed_defending_s4|Յառաջ քան զյարձակումն՝ պարտիմք պահպանել զաշխարհս մեր ի վտանգէ: Թերեւս խորհուրդս այս ազդեաց ի վճիռ սպարապետին պաշտպանել զ{s4}:
str_are_you_all_right|Արդ... թոյլ տուր ինձ մեկնել զառաջարկութիւն իմ:
str_you_are_awake|Ահ – տակաւին սթափ ես: Բարի է տեսանել զի տակաւին կարես գնալ: Բախտաւոր ես զի եկաք: Խօսէի ընդ պահապանին յառաջ քան զլսել զձայն կռուոյն եւ գալն ի տեղին: Եթէ նոյնիսկ ոչ եկաք յառաջ քան զնուաղիլ քո, սակայն արգելաք զնոսա ի կտրելոյ զկոկորդ քո... Արդ... թերեւս կարես պիտանի լինել ինձ...
str_save_town_from_bandits|{s9} պարտ է փրկել ի յափշտակողաց:
str_you_fought_well_at_town_fight_survived|Հա՜: Սքանչելի է – տեսի զի գոնէ երեք այրք անկան առաջի քո! Եթէ այսպէս մարտնչիս՝ անուն քո հռչակեսցի ընդ ամենայն աշխարհ:
str_you_fought_normal_at_town_fight_survived|Յոյժ բարի! Լուայ թէ ընկճեցեր զմի կամ զերկուս ի ժանտից աստի եւ տակաւին կաս: Ոչ կարես առաւել ինչ խնդրել ի մարտի...
str_you_fought_bad_at_town_fight_survived|Թշնամին փախեաւ եւ ցրուեցաւ, եւ դու տակաւին կաս: Ի վախճանի՝ այս է կարեւորն ի մարտի:
str_you_fought_well_at_town_fight|Արդ սթափեցար! Յոյժ հարուածեցար անդ: Բայց լուրքն բարի են! Յաղթեցաք նոցա – եւ դու վնասեցեր նոցա յոյժ յառաջ քան զընկճիլ քո: Եթէ ոչ էիր դու աստ, իրքն կարէին լինել վատթարագոյն: Շնորհապարտ եմք քեզ...
str_you_wounded_at_town_fight|Ո՜հ, կենդանի ես! Հանգեաւ միտք իմ: Յոյժ վիրաւորեցար անդ, պատանի: Ոչ գիտեմ թէ ընկճեցե՞ր զոք ի նոցանէ, բայց մեք այլքս հոգացաք զնոսա: Տեսցուք արդ եթէ կարեմք դարմանել զքեզ...
str_you_fought_well_at_town_fight_survived_answer|Ուսցին ամենայն չարագործք երկնչիլ յամենապատիւ անուանէն {playername}!
str_you_fought_normal_at_town_fight_survived_answer|Ուրախ եմ զի կատարեցի զբաժին իմ...
str_you_fought_bad_at_town_fight_survived_answer|Արդարեւ՝ պատրաստ էի ընկճել զմի ոմն, բայց սահեցայ վասն արեանն...
str_you_fought_well_at_town_fight_answer|Բարի է ուրեմն: Կարեմ համբերել սակաւ հարուածոց վասն բարի գործոյ:
